Country,Date,No. of confirmed cases,No. of confirmed deaths,Male Cases,Female Cases,Boys,Girls,Adult Male,Adult Female,Old Male,Old Female
Spain,23/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,23/02/2015,8223,3057,4933.8,3289.2,1480.14,986.76,2960.28,1973.52,493.38,328.92
United Kingdom,23/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,23/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,23/02/2015,2758,1699,1654.8,1103.2,496.44,330.96,992.88,661.92,165.48,110.32
Liberia,23/02/2015,3153,,1891.8,1261.2,567.54,378.36,1135.08,756.72,189.18,126.12
Mali,23/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Nigeria,23/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,25/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,25/02/2015,8289,3095,4973.4,3315.6,1492.02,994.68,2984.04,1989.36,497.34,331.56
United Kingdom,25/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,25/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,25/02/2015,2762,1704,1657.2,1104.8,497.16,331.44,994.32,662.88,165.72,110.48
Liberia,25/02/2015,3153,,1891.8,1261.2,567.54,378.36,1135.08,756.72,189.18,126.12
Mali,25/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,25/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,25/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,26/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,26/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,26/02/2015,2781,1714,1668.6,1112.4,500.58,333.72,1001.16,667.44,166.86,111.24
Spain,26/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,26/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,26/02/2015,3153,,1891.8,1261.2,567.54,378.36,1135.08,756.72,189.18,126.12
Sierra Leone,26/02/2015,8308,3113,4984.8,3323.2,1495.44,996.96,2990.88,1993.92,498.48,332.32
Nigeria,26/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,26/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,27/02/2015,2790,1721,1674,1116,502.2,334.8,1004.4,669.6,167.4,111.6
Nigeria,27/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,27/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,27/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,27/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,27/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,27/02/2015,8320,3124,4992,3328,1497.6,998.4,2995.2,1996.8,499.2,332.8
Spain,27/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,27/02/2015,3153,,1891.8,1261.2,567.54,378.36,1135.08,756.72,189.18,126.12
Liberia,02/03/2015,3153,,1891.8,1261.2,567.54,378.36,1135.08,756.72,189.18,126.12
Nigeria,02/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,02/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,02/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,02/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United States of America,02/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,02/03/2015,8353,3164,5011.8,3341.2,1503.54,1002.36,3007.08,2004.72,501.18,334.12
United Kingdom,02/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,02/03/2015,2808,1735,1684.8,1123.2,505.44,336.96,1010.88,673.92,168.48,112.32
Liberia,04/03/2015,3153,,1891.8,1261.2,567.54,378.36,1135.08,756.72,189.18,126.12
Mali,04/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,04/03/2015,8353,3164,5011.8,3341.2,1503.54,1002.36,3007.08,2004.72,501.18,334.12
Guinea,04/03/2015,2808,1735,1684.8,1123.2,505.44,336.96,1010.88,673.92,168.48,112.32
Senegal,04/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,04/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,04/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,04/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,04/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Senegal,05/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,05/03/2015,8383,3199,5029.8,3353.2,1508.94,1005.96,3017.88,2011.92,502.98,335.32
Guinea,05/03/2015,2833,1749,1699.8,1133.2,509.94,339.96,1019.88,679.92,169.98,113.32
Spain,05/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,05/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,05/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,05/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,05/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,05/03/2015,3150,,1890,1260,567,378,1134,756,189,126
Senegal,06/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,06/03/2015,8389,3210,5033.4,3355.6,1510.02,1006.68,3020.04,2013.36,503.34,335.56
Liberia,06/03/2015,3150,,1890,1260,567,378,1134,756,189,126
Mali,06/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,06/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,06/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,06/03/2015,2840,1755,1704,1136,511.2,340.8,1022.4,681.6,170.4,113.6
United Kingdom,06/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,06/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United States of America,10/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,10/03/2015,8428,3263,5056.8,3371.2,1517.04,1011.36,3034.08,2022.72,505.68,337.12
Nigeria,10/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Liberia,10/03/2015,3150,,1890,1260,567,378,1134,756,189,126
Mali,10/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Senegal,10/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,10/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,10/03/2015,2871,1778,1722.6,1148.4,516.78,344.52,1033.56,689.04,172.26,114.84
United Kingdom,10/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,11/03/2015,2871,1778,1722.6,1148.4,516.78,344.52,1033.56,689.04,172.26,114.84
Sierra Leone,11/03/2015,8428,3263,5056.8,3371.2,1517.04,1011.36,3034.08,2022.72,505.68,337.12
Liberia,11/03/2015,3150,,1890,1260,567,378,1134,756,189,126
Mali,11/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,11/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,11/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,11/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,11/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,11/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,12/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,12/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,12/03/2015,8463,3289,5077.8,3385.2,1523.34,1015.56,3046.68,2031.12,507.78,338.52
Guinea,12/03/2015,2901,1792,1740.6,1160.4,522.18,348.12,1044.36,696.24,174.06,116.04
Liberia,12/03/2015,3150,,1890,1260,567,378,1134,756,189,126
United Kingdom,12/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,12/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,12/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,12/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Liberia,13/03/2015,3150,,1890,1260,567,378,1134,756,189,126
Guinea,13/03/2015,2911,1797,1746.6,1164.4,523.98,349.32,1047.96,698.64,174.66,116.44
United Kingdom,13/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,13/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,13/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,13/03/2015,8469,3297,5081.4,3387.6,1524.42,1016.28,3048.84,2032.56,508.14,338.76
United States of America,13/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,13/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,13/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,16/03/2015,2957,1821,1774.2,1182.8,532.26,354.84,1064.52,709.68,177.42,118.28
Nigeria,16/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,16/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,16/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,16/03/2015,8484,3321,5090.4,3393.6,1527.12,1018.08,3054.24,2036.16,509.04,339.36
United States of America,16/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,16/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,16/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,16/03/2015,3150,,1890,1260,567,378,1134,756,189,126
Sierra Leone,17/03/2015,8487,3325,5092.2,3394.8,1527.66,1018.44,3055.32,2036.88,509.22,339.48
Senegal,17/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,17/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,17/03/2015,2966,1829,1779.6,1186.4,533.88,355.92,1067.76,711.84,177.96,118.64
Mali,17/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,17/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,17/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,17/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,17/03/2015,3150,,1890,1260,567,378,1134,756,189,126
United States of America,18/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,18/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,18/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Nigeria,18/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,18/03/2015,2966,1829,1779.6,1186.4,533.88,355.92,1067.76,711.84,177.96,118.64
Senegal,18/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,18/03/2015,8487,3325,5092.2,3394.8,1527.66,1018.44,3055.32,2036.88,509.22,339.48
Liberia,18/03/2015,3150,,1890,1260,567,378,1134,756,189,126
Spain,18/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,20/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,20/03/2015,2988,1846,1792.8,1195.2,537.84,358.56,1075.68,717.12,179.28,119.52
Senegal,20/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,20/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,20/03/2015,8508,3346,5104.8,3403.2,1531.44,1020.96,3062.88,2041.92,510.48,340.32
United States of America,20/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,20/03/2015,3150,,1890,1260,567,378,1134,756,189,126
Nigeria,20/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,20/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,23/03/2015,8518,3376,5110.8,3407.2,1533.24,1022.16,3066.48,2044.32,511.08,340.72
Mali,23/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,23/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,23/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,23/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,23/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,23/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,23/03/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Guinea,23/03/2015,3007,1863,1804.2,1202.8,541.26,360.84,1082.52,721.68,180.42,120.28
Senegal,24/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,24/03/2015,3011,1865,1806.6,1204.4,541.98,361.32,1083.96,722.64,180.66,120.44
United States of America,24/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,24/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,24/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,24/03/2015,8520,3381,5112,3408,1533.6,1022.4,3067.2,2044.8,511.2,340.8
Liberia,24/03/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Mali,24/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,24/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,25/03/2015,3011,1865,1806.6,1204.4,541.98,361.32,1083.96,722.64,180.66,120.44
Spain,25/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,25/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,25/03/2015,8520,3381,5112,3408,1533.6,1022.4,3067.2,2044.8,511.2,340.8
United Kingdom,25/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,25/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,25/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,25/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,25/03/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
United Kingdom,26/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,26/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,26/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,26/03/2015,3032,1875,1819.2,1212.8,545.76,363.84,1091.52,727.68,181.92,121.28
Liberia,26/03/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Spain,26/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,26/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,26/03/2015,8529,3398,5117.4,3411.6,1535.22,1023.48,3070.44,2046.96,511.74,341.16
Senegal,26/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,27/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,27/03/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Senegal,27/03/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,27/03/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Sierra Leone,27/03/2015,8532,3407,5119.2,3412.8,1535.76,1023.84,3071.52,2047.68,511.92,341.28
United Kingdom,27/03/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,27/03/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,27/03/2015,3042,1878,1825.2,1216.8,547.56,365.04,1095.12,730.08,182.52,121.68
United States of America,27/03/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,07/04/2015,3089,1919,1853.4,1235.6,556.02,370.68,1112.04,741.36,185.34,123.56
Senegal,07/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,07/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,07/04/2015,8555,3466,5133,3422,1539.9,1026.6,3079.8,2053.2,513.3,342.2
Spain,07/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,07/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,07/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,07/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,07/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Liberia,09/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Mali,09/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Senegal,09/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,09/04/2015,3093,1921,1855.8,1237.2,556.74,371.16,1113.48,742.32,185.58,123.72
Sierra Leone,09/04/2015,8558,3475,5134.8,3423.2,1540.44,1026.96,3080.88,2053.92,513.48,342.32
United States of America,09/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,09/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,09/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,09/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,13/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,13/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,13/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,13/04/2015,3112,1928,1867.2,1244.8,560.16,373.44,1120.32,746.88,186.72,124.48
Sierra Leone,13/04/2015,8560,3488,5136,3424,1540.8,1027.2,3081.6,2054.4,513.6,342.4
United States of America,13/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,13/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,13/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,13/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Liberia,14/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Mali,14/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United States of America,14/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,14/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,14/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,14/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,14/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,14/04/2015,3117,1932,1870.2,1246.8,561.06,374.04,1122.12,748.08,187.02,124.68
Sierra Leone,14/04/2015,8563,3491,5137.8,3425.2,1541.34,1027.56,3082.68,2055.12,513.78,342.52
Guinea,15/04/2015,3117,1932,1870.2,1246.8,561.06,374.04,1122.12,748.08,187.02,124.68
Mali,15/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United States of America,15/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,15/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,15/04/2015,8563,3491,5137.8,3425.2,1541.34,1027.56,3082.68,2055.12,513.78,342.52
Liberia,15/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Senegal,15/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,15/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,15/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,16/04/2015,8566,3499,5139.6,3426.4,1541.88,1027.92,3083.76,2055.84,513.96,342.64
United States of America,16/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,16/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Spain,16/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,16/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,16/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,16/04/2015,3124,1934,1874.4,1249.6,562.32,374.88,1124.64,749.76,187.44,124.96
United Kingdom,16/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,16/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,17/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,17/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,17/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,17/04/2015,8569,3499,5141.4,3427.6,1542.42,1028.28,3084.84,2056.56,514.14,342.76
Nigeria,17/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,17/04/2015,3126,1937,1875.6,1250.4,562.68,375.12,1125.36,750.24,187.56,125.04
Liberia,17/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
United Kingdom,17/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,17/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,20/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,20/04/2015,3133,1942,1879.8,1253.2,563.94,375.96,1127.88,751.92,187.98,125.32
Nigeria,20/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,20/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,20/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,20/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Senegal,20/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,20/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,20/04/2015,8572,3506,5143.2,3428.8,1542.96,1028.64,3085.92,2057.28,514.32,342.88
Liberia,21/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
United States of America,21/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,21/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,21/04/2015,8573,3511,5143.8,3429.2,1543.14,1028.76,3086.28,2057.52,514.38,342.92
Nigeria,21/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,21/04/2015,3136,1943,1881.6,1254.4,564.48,376.32,1128.96,752.64,188.16,125.44
Senegal,21/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,21/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,21/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Mali,22/04/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Nigeria,22/04/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Sierra Leone,22/04/2015,8575,3511,5145,3430,1543.5,1029,3087,2058,514.5,343
Spain,22/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,22/04/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,22/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,22/04/2015,3136,1943,1881.6,1254.4,564.48,376.32,1128.96,752.64,188.16,125.44
Liberia,22/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
United States of America,22/04/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,23/04/2015,8581,3519,5148.6,3432.4,1544.58,1029.72,3089.16,2059.44,514.86,343.24
Spain,23/04/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,23/04/2015,3151,,1890.6,1260.4,567.18,378.12,1134.36,756.24,189.06,126.04
Guinea,23/04/2015,3144,1947,1886.4,1257.6,565.92,377.28,1131.84,754.56,188.64,125.76
